Product code,Product Name,Product Main Category,Product Sub Category,DEPARTMENT ,DESCRIPTION ,Video Link,Image 2,Catalogue ,Price 1 (Customer type 1),Price 2 ( Customer type 2),Price 3 ( Customer type 3)
PL200,COMPRESSOR A101 PLMT 25LTR,DENTAL,DENTAL EQUIPMENT ,DENTAL,"The Pelement A101 is a premium oil‑free compressor designed specifically for dental and medical clinics, combining clean, powerful airflow with quiet operation. With a 25‑litre receiver tank, automatic drainage, and a reliable 550 W motor, it delivers stable performance for dental handpieces, micro‑motors, scalers and other air‑driven tools, all while maintaining hygiene and minimizing maintenance.

Key Features

Oil‑Free Air Supply – Ensures contaminant‑free, dry air essential for dental procedures; no risk of oil vapour or lubricant leaks.

25‑Litre Receiver Tank – Provides ample storage to reduce compressor cycling, ensuring steady airflow even during intermittent high demand.

550 W Motor & High Flow – Delivers ≈ 55 L/min air at operating pressure (~5‑8 bar), suitable for typical dental operations.

Silent Operation – Low noise level (≈ 60 dB(A)), creating a more comfortable clinic environment for both practitioners and patients.

Automatic Drainage System – Prevents condensation build‑up, maintaining air quality and reducing maintenance hassle.

Compact & Sturdy Build – Durable materials, with dimensions and weight chosen for stability without consuming excessive space.

Technical Specifications
Parameter        Specification
Model        A101
Tank Capacity        25 litres
Motor Power        550 W
Working Pressure        ~8‑10 bar (starts/stops around ~5‑8 bar)
Air Flow        approx. 55 L/min
Noise Level        approx. 60 dB(A)
Power Supply        220V / 50Hz
Dimensions        approx. 465 × 465 × 745 mm
Weight        approx. 24 kg
Benefits

Hygienic & Clean: Oil‑free design minimizes risk of contamination, essential for medical/dental standards.

Efficient & Low Maintenance: Automatic drip‑off and reliable motor reduce upkeep.

Comfortable Clinic Atmosphere: Reduced noise means less stress for patients and easier communication.

Reliable Performance: Stable air delivery for precision instruments; sufficient capacity for smaller clinics or single‑chair setups.

Ideal For

Dental clinics & surgeries

Orthodontic practices

Dental labs

Clinics requiring clean compressed air for hygiene‑sensitive equipment",,https://drive.google.com/file/d/1PVwsxq78uqVvE5kDvmedSbn_w_q5qIaC/view?usp=sharing,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,1500,2500,
PL201,COMPRESSOR A102 PLMT,DENTAL,DENTAL EQUIPMENT ,DENTAL,"Pelement Dental Oil-Free Compressor A102 (Medical Grade)

Reliable. Hygienic. Ultra-Quiet.

The Pelement A102 Oil-Free Dental Compressor is designed specifically for dental and medical environments that demand clean, dry, and oil-free air. Engineered with precision and built to meet medical-grade standards, this compressor ensures optimal performance for sensitive applications such as dental chairs, surgical tools, and other critical instruments.

Key Features:

Oil-Free Operation: Delivers 100% oil-free air, eliminating the risk of contamination and ensuring hygienic operation.

Medical Grade Air Quality: Designed to meet the stringent requirements of dental and healthcare practices.

Ultra-Low Noise: Quiet operation ensures a more comfortable clinical environment for both patients and staff.

High-Efficiency Motor: Provides consistent performance with reduced energy consumption.

Anti-Rust Tank Coating: Prevents corrosion and ensures long-term durability.

Compact & Space-Saving Design: Ideal for clinics with limited space without compromising on output capacity.

Automatic Drain System: Helps maintain dry and clean air, protecting your equipment from moisture damage.",,https://drive.google.com/file/d/1AAVi2updS8H72FPadBC9FbvNZWgs9xEk/view?usp=drive_link,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,2000,2500,
PL202,COMPRESSOR & VACCUM UNIT W AUTO DRAINING AS001 PLMT,DENTAL,DENTAL EQUIPMENT ,DENTAL,"Pelement Compressor & Vacuum Unit with Auto Draining – AS001

Dual Functionality. Medical Grade Performance. Hassle-Free Maintenance.

The Pelement AS001 combines a high-efficiency oil-free compressor and a powerful vacuum suction unit in one compact system — engineered to meet the stringent requirements of dental clinics and medical facilities. With an integrated auto-draining system, this unit offers seamless operation and minimal maintenance, ensuring continuous, hygienic performance.

Key Features:

2-in-1 System: Integrated compressor and vacuum unit for streamlined installation and space-saving convenience.

Oil-Free Technology: Provides clean, dry, and oil-free air—safe for dental and medical equipment.

Medical-Grade Suction: Reliable vacuum pressure for effective suction during dental procedures.

Automatic Draining System: Eliminates moisture buildup with self-draining, ensuring consistent air quality and extending unit lifespan.

Quiet Operation: Low noise output for a more comfortable clinical environment.

Durable Construction: Built with high-quality, anti-corrosion materials for long-term reliability.

Specifications:",,https://drive.google.com/file/d/1DzWOoVhvdeJ9j5iYtOYVZS4sAV9Mgc9X/view?usp=sharing,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,4000,4500,
PL203,COMPRESSOR W CABINET A101 25 LTR PLMT,DENTAL,DENTAL EQUIPMENT ,DENTAL,"Pelement A101 Oil-Free Compressor with Cabinet – 25 Litre

Quiet Operation. Clean Air. Compact Design.

The Pelement A101 is a high-performance oil-free dental compressor equipped with a 25-litre air tank and housed in a sound-insulated cabinet for ultra-quiet operation. Engineered for dental and medical use, it delivers clean, dry air while minimizing noise and maximizing space efficiency.

Key Features:

Oil-Free Technology: Provides 100% clean, dry air—safe for dental instruments and medical use.

25-Litre Air Tank: Ensures steady and sufficient air supply for routine clinical procedures.

Noise-Reduction Cabinet: Soundproof enclosure significantly reduces operational noise, ideal for quiet clinical environments.

Space-Saving Design: Compact footprint fits easily in tight spaces or under counters.

Low Maintenance: Oil-free operation and minimal service requirements mean more uptime and lower costs.

Durable & Hygienic: Anti-corrosion coated tank and medical-grade build quality.",,https://drive.google.com/file/d/1PVwsxq78uqVvE5kDvmedSbn_w_q5qIaC/view?usp=sharing,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,3000,3500,
PL204,COMPRESSOR W DRYER A201 PLMT,DENTAL,DENTAL EQUIPMENT ,DENTAL,"Pelement A201 Oil-Free Compressor with Dryer – Medical Grade

Clean Air. Dry Air. Continuous Performance.

The Pelement A201 is a medical-grade oil-free compressor integrated with a high-efficiency air dryer to deliver clean, dry, and moisture-free compressed air—perfect for dental clinics, laboratories, and other medical environments. Designed for high reliability and low maintenance, the A201 ensures your equipment runs smoothly and safely.

Key Features:

Oil-Free Operation: Supplies 100% oil-free air, eliminating the risk of contamination to dental and medical instruments.

Integrated Air Dryer: Effectively removes moisture from the air supply to protect your equipment from corrosion and bacterial growth.

Medical Grade Quality: Engineered to meet the demanding standards of healthcare and dental professionals.

Stable Air Output: Consistent pressure and air volume suitable for multiple operatories.

Quiet Performance: Low noise level for a more comfortable work environment.

Compact & Durable: Space-saving design with corrosion-resistant tank and high-quality components for long-lasting use.",,https://drive.google.com/file/d/1p0cZGJwfwq18aOpbaWyE_ZCj5xm7tDRL/view?usp=sharing,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,3000,3500,
PL205,SUCTION UNIT S101 PLMT,DENTAL,DENTAL EQUIPMENT ,DENTAL,"The Pelement S101 Suction Unit is a high-performance, medical-grade suction system designed specifically for dental clinics and minor surgical environments. Compact yet powerful, the S101 provides reliable and continuous suction to ensure a clean and safe operatory space during all procedures.

Key Features:

Powerful Suction Performance: Delivers strong and stable negative pressure for efficient fluid and debris removal.

Quiet Operation: Engineered for low noise, promoting a more comfortable and stress-free environment for patients and staff.

Oil-Free & Maintenance-Friendly: No messy oil changes—simplifies maintenance and reduces operating costs.

Compact Design: Space-saving footprint makes it ideal for clinics with limited space or mobile setups.

Durable Build: High-quality components and corrosion-resistant materials ensure long-lasting performance.

Easy-to-Clean: Hygienic construction with accessible parts for quick cleaning and disinfection.",,https://drive.google.com/file/d/1p7lwDH5Sm25-gVqniadDGNIEZLovCpL5/view?usp=sharing,https://drive.google.com/file/d/17t9IwvySFJ68DZuFhbqtFRqwlRbAOTj0/view?usp=sharing,2500,3000,
W03000,AUTOCLAVE CLASS B 18L TANDA STERI WOSON,CSSD ,STERILIZATION ,STERILIZATION ,"Tanda Steri Woson Class B Autoclave – 18L

Advanced Sterilization. Medical-Grade Safety. Trusted Performance.

The Tanda Steri Woson Class B Autoclave (18L) is a high-performance sterilization unit designed to meet the strict requirements of medical, dental, and laboratory environments. With a Class B classification, this autoclave uses pre-vacuum and post-vacuum technology to ensure complete sterilization of both solid and hollow instruments, including those with complex lumens.

Key Features:

Class B Sterilization: Complies with the highest European standards (EN 13060), suitable for all types of medical and dental instruments.

18-Litre Capacity: Ideal for small to medium-sized practices, offering efficient cycle throughput without taking up excessive space.

Pre & Post Vacuum Technology: Multiple vacuum cycles ensure deep penetration of steam and thorough drying, reducing the risk of cross-contamination.

User-Friendly Interface: Intuitive digital display with programmable sterilization cycles for ease of use.

Automatic Drying & Cooling: Ensures instruments are dry, sterile, and ready for immediate use or safe storage.

Built-In Safety Features: Overheat protection, automatic pressure release, and door lock safety systems.

Stainless Steel Chamber: Durable, corrosion-resistant, and easy to clean.",,https://drive.google.com/file/d/1WT-zzn1zZQxaE2jfhETBxOPP78p15gB-/view?usp=sharing,https://drive.google.com/file/d/1YmUEn8GBFfR7xLjEgHK8U_312vqlND2P/view?usp=sharing,5000,6000,
W03001,AUTOCLAVE CLASS B 18L TANZO CLASSIC WOSON,CSSD ,STERILIZATION ,STERILIZATION ,"The Woson Tanzo Classic 18L is a state-of-the-art Class B autoclave designed to meet the rigorous sterilization standards required in dental and medical settings. Engineered for reliability and efficiency, it ensures the highest level of sterilization for instruments, providing peace of mind to healthcare professionals and patients alike.

Key Features:

Class B Sterilization: Complies with European EN 13060 standards, offering 3-phase pre-vacuum cycles for thorough sterilization of wrapped and porous loads.

Advanced Control System: Equipped with a high-resolution LCD display for real-time monitoring of sterilization parameters, including temperature, pressure, and cycle status.

Built-in Printer: Integrated thermal printer records each sterilization cycle, providing hard-copy documentation for compliance and traceability.

USB Connectivity: Allows for data transfer and storage, facilitating easy record-keeping and integration with practice management systems.

Water Quality Sensor (WQS): Monitors water purity to protect the steam generator and extend the autoclave's lifespan; prevents operation if water quality is inadequate.

Stainless Steel Chamber: Constructed from high-quality AISI 304 stainless steel, ensuring durability and ease of maintenance.

Safety Features: Includes over-temperature, over-pressure, and dry-run protection, along with a safety lock to prevent accidental opening during operation.

Technical Specifications:

Sterilization Chamber Dimensions: Φ245 × 360 mm

External Dimensions: 558 × 471 × 401 mm

Power Supply: 220V, 50Hz

Power Consumption: 1500 VA

Sterilization Temperature: 121°C (Unwrapped) / 134°C (Wrapped)

Cycle Time: Approximately 4 minutes (Unwrapped) / 5 minutes (Wrapped)

Drying Time: 9 minutes

Noise Level: <50 dB

Weight: Approximately 52 kg

Warranty: 24 months

Why Choose the Woson Tanzo Classic 18L?

The Woson Tanzo Classic 18L Class B Autoclave combines advanced technology with user-friendly features to deliver reliable and efficient sterilization. Its compact design makes it suitable for clinics with limited space, while its comprehensive safety and monitoring systems ensure compliance with international sterilization standards. Whether you're upgrading your existing equipment or setting up a new practice, the Tanzo Classic 18L offers exceptional performance and value.",,https://drive.google.com/file/d/1nbNaGWAuthyfnE-q0qt8ImlYy_5aaUNm/view?usp=sharing,https://drive.google.com/file/d/1PxAa4ZO6oQH1y6kToHBwzihi6jM_vHXn/view?usp=sharing,5500,7000,
W03002,AUTOCLAVE CLASS B 18L TANZO TOUCH WOSON,CSSD ,STERILIZATION ,STERILIZATION ,"Tanzo Touch Woson Class B Autoclave – 18L

Smart Sterilization with Touchscreen Control

The Tanzo Touch Woson 18L Autoclave is a Class B steam sterilizer designed to deliver advanced sterilization performance for dental, medical, and laboratory use. Featuring pre-vacuum and post-vacuum technology, it ensures deep steam penetration and complete drying of solid, hollow, and wrapped instruments.

With its modern touchscreen interface, the Tanzo Touch offers intuitive operation, real-time cycle monitoring, and customizable programs to meet the specific needs of any clinical setting.

Key Features:

18L Chamber Capacity – Suitable for small to mid-size practices

Class B Sterilization – Complies with EN 13060 standards

Touchscreen Control Panel – Easy operation and cycle customization

Pre & Post Vacuum Cycles – Ensures deep sterilization and thorough drying

Fast & Efficient Cycles – Reduced downtime between procedures

Automatic Safety Systems – Overheat, pressure, and door lock protections

Stainless Steel Chamber – Corrosion-resistant and easy to maintain

Ideal For:

Dental Clinics

Medical Clinics

Veterinary Practices

Laboratories

Tattoo & Aesthetic Studios",,https://drive.google.com/file/d/1F11yDLvnq7xeGLEprRTVwohMQ_TQojlx/view?usp=sharing,https://drive.google.com/file/d/1bvlBWNd5JmATQ03IT7KB2ujIXsuLGsXM/view?usp=sharing,7500,9000,
W03003,AUTOCLAVE CLASS B 23L TANDA PRO CLASSIC WOSON,CSSD ,STERILIZATION ,STERILIZATION ,"Tanda Pro Classic Woson Class B Autoclave – 23L

High-Capacity Sterilization. Class B Performance. Built for Clinical Demands.

The Tanda Pro Classic Woson 23L Class B Autoclave is a powerful, high-capacity steam sterilizer designed for dental, medical, and laboratory use. Compliant with EN 13060 standards, it uses advanced pre-vacuum and post-vacuum technology to ensure deep steam penetration and thorough drying—even for complex, hollow, and wrapped instruments.

With a 23-litre chamber, this unit is ideal for clinics that need to sterilize larger loads quickly and efficiently. Reliable, user-friendly, and equipped with built-in safety systems, the Tanda Pro Classic is a dependable solution for modern sterilization needs.

Key Features:

✅ Class B Sterilization – Suitable for all types of instruments, including hollow and packaged items

✅ Large 23L Capacity – Perfect for busy clinics requiring fast turnaround of instruments

✅ Pre & Post Vacuum Technology – Ensures complete sterilization and drying

✅ User-Friendly Interface – Simple control panel for easy operation and cycle selection

✅ Fast Cycle Times – Optimized for efficiency and reduced downtime

✅ Automatic Drying & Cooling – Instruments are ready to use or store immediately after the cycle

✅ Safety Assured – Overheat, overpressure, and auto-lock door protections

✅ Durable Stainless Steel Chamber – Easy to clean and corrosion-resistant

Specifications:

Model: Tanda Pro Classic – Woson

Chamber Capacity: 23 Litres

Sterilization Class: Class B (EN 13060 Compliant)

Control Panel: Digital / Button Interface

Vacuum Type: Pre & Post Vacuum

Cycle Options: Multiple Preset Programs

Recommended For:

Dental & Medical Clinics

Surgical Centers

Veterinary Clinics

Labs & Diagnostics

Tattoo & Aesthetic Studios",,https://drive.google.com/file/d/19EeH59c5nhC6YIAKAaFfRWeIgRWtMR17/view?usp=sharing,https://drive.google.com/file/d/1qOwyc4UnaKsZRpgwU7DBmweKT6_Z8Bxl/view?usp=sharing,5000,5500,
